RTA;pop tot;ménages tot;armes;armes/hab;armes/ménage;armes/hab (2);armes/menage (2)
A0;238116;97220;141312;0,5934586504;1,4535280806;0.5934586504;1.4535280806
A1;206217;82898;42942;0,2082369543;0,5180100847;0.2082369543;0.5180100847
A2;55690;22971;22688;0,4073980966;0,9876801184;0.4073980966;0.9876801184
A5;7974;3158;3946;0,4948582894;1,2495250158;0.4948582894;1.2495250158
A8;6539;2595;3097;0,4736198195;1,1934489403;0.4736198195;1.1934489403
B0;293246;124522;165388;0,5639906427;1,3281829717;0.5639906427;1.3281829717
B1;94261;39267;21494;0,2280264372;0,5473807523;0.2280264372;0.5473807523
B2;164120;66828;40478;0,2466366074;0,6057041958;0.2466366074;0.6057041958
B3;209232;94831;33025;0,1578391451;0,3482510993;0.1578391451;0.3482510993
B4;130606;52270;36591;0,2801632391;0,7000382629;0.2801632391;0.7000382629
B5;12688;5597;5413;0,4266235813;0,9671252457;0.4266235813;0.9671252457
B6;12840;4996;4276;0,3330218069;0,8558847078;0.3330218069;0.8558847078
B9;4734;1968;1220;0,2577101817;0,6199186992;0.2577101817;0.6199186992
C0;73210;28448;16311;0,222797432;0,5733619235;0.222797432;0.5733619235
C1;66994;28014;8524;0,1272352748;0,3042764332;0.1272352748;0.3042764332
E1;171101;72271;44002;0,2571697418;0,6088472555;0.2571697418;0.6088472555
E2;136244;56347;35314;0,2591967353;0,6267236943;0.2591967353;0.6267236943
E3;133736;56562;47785;0,3573084285;0,8448251476;0.3573084285;0.8448251476
E4;104121;43591;50418;0,4842250843;1,1566148976;0.4842250843;1.1566148976
E5;51579;20745;30602;0,5933034762;1,4751506387;0.5933034762;1.4751506387
E6;20560;8367;17420;0,8472762646;2,0819887654;0.8472762646;2.0819887654
E7;56703;23349;31657;0,5582949756;1,3558182363;0.5582949756;1.3558182363
E8;57400;24744;26385;0,4596689895;1,0663191077;0.4596689895;1.0663191077
E9;19727;8031;9398;0,4764028996;1,1702154153;0.4764028996;1.1702154153
G0;622399;260995;307217;0,4936013715;1,1770991781;0.4936013715;1.1770991781
G1;365855;182389;48447;0,1324213145;0,2656245717;0.1324213145;0.2656245717
G2;117868;50829;22624;0,1919435301;0,4451002381;0.1919435301;0.4451002381
G3;123330;48269;34544;0,2800940566;0,7156560111;0.2800940566;0.7156560111
G4;89189;38883;40906;0,4586440032;1,0520278785;0.4586440032;1.0520278785
G5;154233;69236;55651;0,3608242075;0,8037870472;0.3608242075;0.8037870472
G6;224762;97548;53246;0,2368994759;0,5458440973;0.2368994759;0.5458440973
G7;161859;70385;47092;0,2909445876;0,6690630106;0.2909445876;0.6690630106
G8;189749;84792;64880;0,3419253856;0,7651665251;0.3419253856;0.7651665251
G9;107704;51013;29834;0,2769999257;0,5848313175;0.2769999257;0.5848313175
H1;564084;252205;37818;0,0670432063;0,1499494459;0.0670432063;0.1499494459
H2;356406;186025;18675;0,0523981078;0,1003897326;0.0523981078;0.1003897326
H3;290409;132722;14837;0,0510900144;0,1117900574;0.0510900144;0.1117900574
H4;324035;141663;26781;0,0826484793;0,1890472459;0.0826484793;0.1890472459
H5;5;2;0;0;0;0;0
H7;401553;154456;43390;0,1080554746;0,2809214275;0.1080554746;0.2809214275
H8;149318;63628;11013;0,073755341;0,1730841768;0.073755341;0.1730841768
H9;202224;73198;16717;0,0826657568;0,2283805568;0.0826657568;0.2283805568
J0;838328;346935;354824;0,4232519968;1,0227391298;0.4232519968;1.0227391298
J1;214855;97169;45235;0,2105373391;0,4655291297;0.2105373391;0.4655291297
J2;279729;121599;50976;0,1822335189;0,4192139738;0.1822335189;0.4192139738
J3;351824;141950;54841;0,1558762336;0,3863402607;0.1558762336;0.3863402607
J4;311033;135495;33360;0,1072555002;0,2462083472;0.1072555002;0.2462083472
J5;261406;100689;46162;0,176591203;0,4584612023;0.176591203;0.4584612023
J6;286845;118061;44512;0,1551778835;0,377025436;0.1551778835;0.377025436
J7;442543;172775;64901;0,1466546754;0,3756388366;0.1466546754;0.3756388366
J8;278660;120763;66051;0,2370307902;0,5469473266;0.2370307902;0.5469473266
J9;192796;81669;73159;0,3794632669;0,8957988955;0.3794632669;0.8957988955
K0;548493;216985;355717;0,6485351682;1,6393621679;0.6485351682;1.6393621679
K1;405386;173431;32780;0,0808612039;0,1890088854;0.0808612039;0.1890088854
K2;352040;136208;33225;0,0943784797;0,2439284036;0.0943784797;0.2439284036
K4;95520;32892;13669;0,1431009213;0,4155721756;0.1431009213;0.4155721756
K6;91814;40511;16355;0,1781318753;0,4037175088;0.1781318753;0.4037175088
K7;222180;93797;65086;0,2929426591;0,6939027901;0.2929426591;0.6939027901
K8;118237;49111;40616;0,3435134518;0,8270244955;0.3435134518;0.8270244955
K9;142243;59187;32152;0,2260357276;0,5432273979;0.2260357276;0.5432273979
L0;384244;139431;131544;0,3423449683;0,9434343869;0.3423449683;0.9434343869
L1;557667;196005;71747;0,1286556314;0,3660467845;0.1286556314;0.3660467845
L2;246497;101735;30827;0,1250603456;0,3030127291;0.1250603456;0.3030127291
L3;456570;157782;62476;0,1368377248;0,3959640517;0.1368377248;0.3959640517
L4;805834;266561;73756;0,0915275354;0,2766946403;0.0915275354;0.2766946403
L5;571809;187836;28323;0,0495322739;0,1507857919;0.0495322739;0.1507857919
L6;812923;244273;38610;0,0474952732;0,1580608581;0.0474952732;0.1580608581
L7;366220;127370;41270;0,1126918246;0,3240166444;0.1126918246;0.3240166444
L8;313552;129788;27383;0,0873316069;0,2109825253;0.0873316069;0.2109825253
L9;405793;147513;60366;0,148760575;0,4092249497;0.148760575;0.4092249497
M1;627817;212362;22989;0,0366173582;0,1082538307;0.0366173582;0.1082538307
M2;258563;100917;26595;0,102856944;0,2635333987;0.102856944;0.2635333987
M3;236492;87738;9625;0,0406990511;0,1097016116;0.0406990511;0.1097016116
M4;420015;194895;21535;0,0512719784;0,110495395;0.0512719784;0.110495395
M5;222577;114439;6244;0,028053213;0,054561819;0.028053213;0.054561819
M6;443385;183471;32212;0,0726501799;0,1755699811;0.0726501799;0.1755699811
M7;0;2;3;0;1,5;0;1.5
M8;97555;44168;8591;0,0880631439;0,1945073356;0.0880631439;0.1945073356
M9;308663;109887;16074;0,0520762126;0,1462775397;0.0520762126;0.1462775397
N0;597055;223363;272714;0,4567652896;1,2209452774;0.4567652896;1.2209452774
N1;240058;91717;29780;0,1240533538;0,3246944405;0.1240533538;0.3246944405
N2;329670;128789;36500;0,1107167774;0,2834092974;0.1107167774;0.2834092974
N3;225096;86491;42910;0,1906297757;0,4961209837;0.1906297757;0.4961209837
N4;138536;57136;42217;0,3047366749;0,7388861663;0.3047366749;0.7388861663
N5;249179;101813;39189;0,1572724828;0,3849115535;0.1572724828;0.3849115535
N6;227921;96307;19865;0,0871573923;0,2062674572;0.0871573923;0.2062674572
N7;149978;63833;31525;0,2101974956;0,4938668087;0.2101974956;0.4938668087
N8;194645;78960;28613;0,1470009504;0,3623733536;0.1470009504;0.3623733536
N9;155664;60230;22156;0,1423322027;0,3678565499;0.1423322027;0.3678565499
P0;283300;115566;251896;0,8891493117;2,1796722219;0.8891493117;2.1796722219
P1;96236;40555;39908;0,4146888898;0,9840463568;0.4146888898;0.9840463568
P2;29472;12960;17831;0,6050149294;1,3758487654;0.6050149294;1.3758487654
P3;125603;53718;52728;0,4197988902;0,9815704233;0.4197988902;0.9815704233
P4;33526;14037;17673;0,5271431128;1,2590297072;0.5271431128;1.2590297072
P5;25298;11829;16345;0,6460985058;1,3817736072;0.6460985058;1.3817736072
P6;78802;33991;36119;0,4583513109;1,0626048072;0.4583513109;1.0626048072
P7;119486;51341;51556;0,4314815125;1,0041876863;0.4314815125;1.0041876863
P8;15331;6195;13161;0,8584567217;2,1244552058;0.8584567217;2.1244552058
P9;24876;10382;18200;0,7316288792;1,7530340975;0.7316288792;1.7530340975
R0;339339;119977;183802;0,5416471434;1,5319769623;0.5416471434;1.5319769623
R1;37578;14496;16237;0,4320879238;1,1201020971;0.4320879238;1.1201020971
R2;376770;147821;70841;0,1880218701;0,4792350207;0.1880218701;0.4792350207
R3;303454;126688;46404;0,1529193881;0,3662856782;0.1529193881;0.3662856782
R4;9098;2774;3707;0,4074521873;1,3363374189;0.4074521873;1.3363374189
R5;28371;9734;9484;0,3342850093;0,9743168276;0.3342850093;0.9743168276
R6;27108;9035;7340;0,2707687767;0,8123962369;0.2707687767;0.8123962369
R7;60044;25229;22986;0,3828192659;0,9110943755;0.3828192659;0.9110943755
R8;18949;7427;9104;0,480447517;1,2257977649;0.480447517;1.2257977649
R9;7557;2957;4749;0,6284239778;1,6060196145;0.6284239778;1.6060196145
S0;432450;164863;278490;0,6439819632;1,6892207469;0.6439819632;1.6892207469
S2;730;290;186;0,2547945205;0,6413793103;0.2547945205;0.6413793103
S3;17930;7612;8994;0,501617401;1,1815554388;0.501617401;1.1815554388
S4;223190;91410;60001;0,2688337291;0,6563942676;0.2688337291;0.6563942676
S6;76398;30838;29546;0,3867378727;0,9581036384;0.3867378727;0.9581036384
S7;230700;93878;56815;0,246272215;0,6052003664;0.246272215;0.6052003664
S9;52091;20776;25129;0,4824057899;1,2095206007;0.4824057899;1.2095206007
T0;571556;204377;360697;0,6310790194;1,7648610167;0.6310790194;1.7648610167
T1;338048;127333;91752;0,2714170769;0,7205673313;0.2714170769;0.7205673313
T2;578335;240888;94156;0,1628052945;0,390870446;0.1628052945;0.390870446
T3;485337;172072;59838;0,123291651;0,3477497792;0.123291651;0.3477497792
T4;275828;105097;92919;0,3368729788;0,884126093;0.3368729788;0.884126093
T5;434584;179933;73119;0,1682505569;0,4063679258;0.1682505569;0.4063679258
T6;381228;146005;59306;0,1555656982;0,4061915688;0.1555656982;0.4061915688
T7;127722;47670;61024;0,4777876952;1,2801342563;0.4777876952;1.2801342563
T8;264464;96787;96586;0,365214169;0,9979232748;0.365214169;0.9979232748
T9;188047;70091;83671;0,4449472738;1,1937481274;0.4449472738;1.1937481274
V0;494676;208399;270660;0,5471460107;1,2987586313;0.5471460107;1.2987586313
V1;373751;154256;131165;0,3509422048;0,8503072814;0.3509422048;0.8503072814
V2;554740;216894;169011;0,3046670512;0,7792331738;0.3046670512;0.7792331738
V3;764574;271541;78934;0,1032391894;0,2906890672;0.1032391894;0.2906890672
V4;329436;119913;60410;0,1833740089;0,5037819086;0.1833740089;0.5037819086
V5;506198;195199;33644;0,0664641109;0,1723574404;0.0664641109;0.1723574404
V6;375037;176319;23832;0,0635457302;0,135164106;0.0635457302;0.135164106
V7;284387;108417;29009;0,1020053659;0,2675687392;0.1020053659;0.2675687392
V8;306447;136572;61293;0,2000117475;0,4487962393;0.2000117475;0.4487962393
V9;410811;177127;120557;0,2934609833;0,6806246366;0.2934609833;0.6806246366
X0;53636;16229;22594;0,4212469237;1,3921991497;0.4212469237;1.3921991497
X1;19732;7132;8997;0,4559598622;1,2614974762;0.4559598622;1.2614974762
Y0;8296;3810;7888;0,9508196721;2,0703412073;0.9508196721;2.0703412073
Y1;25601;10307;19168;0,7487207531;1,8597069952;0.7487207531;1.8597069952
